Date,Open,High,Low,Close,Adj Close,Volume,No. of outstanding shares (in millions),nos (in million),market capitalisation,
2011-01-03,331.370575,335.135101,325.723785,329.947388,312.391724,3223203,3797530096,3797.53,1186316.97,
2011-01-04,330.773773,332.242828,324.2547,327.23877,309.82724,3763034,3797530096,3797.53,1176578.27,
2011-01-05,325.953308,326.917419,319.112885,320.444244,303.394318,2899641,3797530096,3797.53,1152149.05,
2011-01-06,320.58197,326.22876,320.58197,324.300598,307.045441,3165498,3797530096,3797.53,1166014.30,
2011-01-07,324.851501,325.769684,307.038849,310.803375,294.266357,6661176,3797530096,3797.53,1117485.35,
2011-01-10,312.180634,315.807465,307.635651,311.354279,294.787933,3012403,3797530096,3797.53,1119466.05,
2011-01-11,313.098816,318.516083,306.67157,310.757477,294.222992,3641198,3797530096,3797.53,1117320.67,
2011-01-12,312.318359,322.510162,308.507935,320.536072,303.481171,2092728,3797530096,3797.53,1152478.88,
2011-01-13,317.873352,325.035156,316.863342,318.28653,301.351318,3497392,3797530096,3797.53,1144390.70,
2011-01-14,316.863342,322.693787,313.328369,315.62381,298.830353,2429267,3797530096,3797.53,1134817.26,
2011-01-17,312.63974,323.198792,311.859283,319.985168,302.959656,3647806,3797530096,3797.53,1150498.41,
2011-01-18,321.454254,322.601959,315.027008,316.220642,299.395416,2167905,3797530096,3797.53,1136963.10,
2011-01-19,316.771545,319.893341,313.741547,316.266541,299.438812,2911549,3797530096,3797.53,1137127.90,
2011-01-20,311.262482,314.935181,310.344299,312.456085,295.831116,3782829,3797530096,3797.53,1123427.57,
2011-01-21,312.134735,312.134735,303.917053,308.553833,292.136536,3161198,3797530096,3797.53,1109397.29,
2011-01-24,308.691559,310.252472,305.294312,305.845215,289.572083,2874703,3797530096,3797.53,1099658.70,
2011-01-25,309.104736,312.96109,305.845215,310.114746,293.61438,3795033,3797530096,3797.53,1115009.44,
2011-01-27,312.180634,312.180634,297.71933,299.004791,283.09549,6321177,3797530096,3797.53,1075063.64,
2011-01-28,301.070679,305.064758,296.112518,300.473877,284.486481,4020846,3797530096,3797.53,1080345.97,
2011-01-31,295.791168,297.168427,285.553467,292.898895,277.314545,4669302,3797530096,3797.53,1053110.33,
2011-02-01,298.407959,301.02478,284.635284,291.154358,275.662872,6326614,3797530096,3797.53,1046838.05,
2011-02-02,284.635284,299.142517,279.539398,296.38797,280.617981,11513851,3797530096,3797.53,1065655.23,
2011-02-03,294.230255,314.430176,294.230255,311.997009,295.396454,7300103,3797530096,3797.53,1121776.92,
2011-02-04,314.935181,315.394257,303.457947,305.294312,289.050415,7104712,3797530096,3797.53,1097677.65,
2011-02-07,307.589752,316.082916,304.835205,306.533844,290.22403,4683050,3797530096,3797.53,1102134.49,
2011-02-08,307.589752,312.502014,304.927032,306.028839,289.74588,3586041,3797530096,3797.53,1100318.70,
2011-02-09,299.69342,309.150665,298.086609,304.972931,288.746185,4278016,3797530096,3797.53,1096522.33,
2011-02-10,302.998871,304.284302,287.573456,296.204346,280.444153,6776446,3797530096,3797.53,1064995.11,
2011-02-11,296.296173,296.296173,288.308014,292.807068,277.2276,3109308,3797530096,3797.53,1052780.15,
2011-02-14,297.030701,301.575684,289.226196,300.565674,284.573425,4227202,3797530096,3797.53,1080676.15,
2011-02-15,298.867065,305.937042,296.938873,302.218414,286.138214,3072005,3797530096,3797.53,1086618.48,
2011-02-16,302.080688,305.294312,298.637512,301.529785,285.486237,2756613,3797530096,3797.53,1084142.58,
2011-02-17,304.835205,313.328369,298.958862,312.042908,295.439941,5398074,3797530096,3797.53,1121942.07,
2011-02-18,311.262482,313.374268,301.254333,304.238403,288.05072,4951687,3797530096,3797.53,1093881.28,
2011-02-21,302.723419,305.477936,300.106598,303.641602,287.485687,4177879,3797530096,3797.53,1091735.55,
2011-02-22,300.473877,307.130676,296.892975,303.457947,287.311798,4889642,3797530096,3797.53,1091075.20,
2011-02-23,302.080688,309.65567,299.188416,301.34613,285.312347,4672696,3797530096,3797.53,1083482.22,
2011-02-24,299.326141,308.875214,295.194336,297.857056,282.008881,8525340,3797530096,3797.53,1070937.21,
2011-02-25,302.998871,305.569763,297.994781,302.769318,286.65976,4546750,3797530096,3797.53,1088599.07,
2011-02-28,302.998871,306.67157,298.086609,304.192505,288.007233,6302028,3797530096,3797.53,1093716.14,
2011-03-01,304.00885,311.170654,295.837067,309.97702,293.483978,5345999,3797530096,3797.53,1114514.24,
2011-03-03,308.048828,310.711548,300.336151,303.136597,287.007477,3452481,3797530096,3797.53,1089919.53,
2011-03-04,303.503845,306.304291,297.627533,300.198425,284.225708,3559151,3797530096,3797.53,1079355.68,
2011-03-07,298.407959,299.509796,292.990723,297.902985,282.052368,2517904,3797530096,3797.53,1071102.36,
2011-03-08,297.122528,307.819305,296.571625,307.452026,291.093384,3408743,3797530096,3797.53,1105435.89,
2011-03-09,306.99295,309.242462,303.457947,305.294312,289.050415,1753591,3797530096,3797.53,1097677.65,
2011-03-10,303.962952,304.284302,300.38205,302.539764,286.442444,962663,3797530096,3797.53,1087773.80,
2011-03-11,301.988861,304.376129,294.781158,296.158447,280.400604,3508386,3797530096,3797.53,1064829.73,
2011-03-14,293.908905,297.489807,293.174347,295.423889,279.705139,2967861,3797530096,3797.53,1062188.68,
2011-03-15,291.980713,294.689362,283.671204,288.44574,273.098328,4730453,3797530096,3797.53,1037099.12,
2011-03-16,289.272095,295.928894,289.272095,294.230255,278.575073,4109381,3797530096,3797.53,1057897.22,
2011-03-17,292.715271,297.39798,290.41983,291.842987,276.31485,5175866,3797530096,3797.53,1049313.96,
2011-03-18,295.561615,297.306152,291.521637,292.577545,277.010284,4578211,3797530096,3797.53,1051954.89,
2011-03-21,293.495728,294.872986,290.144379,290.970734,275.488953,1969126,3797530096,3797.53,1046177.59,
2011-03-22,292.164368,300.519775,292.164368,299.877045,283.921387,3681025,3797530096,3797.53,1078200.01,
2011-03-23,299.509796,304.422028,298.637512,303.549774,287.398743,2273858,3797530096,3797.53,1091405.38,
2011-03-24,304.651581,307.038849,299.877045,305.982941,289.702423,2009060,3797530096,3797.53,1100153.67,
2011-03-25,306.763397,313.098816,304.927032,311.905182,295.30954,2652019,3797530096,3797.53,1121446.87,
2011-03-28,313.466095,321.362427,307.130676,319.342438,302.351105,7882097,3797530096,3797.53,1148187.42,
2011-03-29,318.60788,335.089203,318.60788,331.095123,313.478424,9278611,3797530096,3797.53,1190443.75,
2011-03-30,330.54422,332.059204,325.448334,329.993317,312.435242,5526960,3797530096,3797.53,1186482.23,
2011-03-31,328.248779,330.085114,322.647888,328.156952,310.696564,9153257,3797530096,3797.53,1179879.55,
2011-04-01,325.58606,330.819672,324.116974,326.22876,308.871002,4851691,3797530096,3797.53,1172946.93,
2011-04-04,325.494232,332.380585,324.116974,329.947388,312.391724,2324599,3797530096,3797.53,1186316.97,
2011-04-05,331.921478,333.574188,328.248779,330.773773,313.174164,2067078,3797530096,3797.53,1189288.31,
2011-04-06,330.819672,333.436462,321.59198,324.392426,307.132385,4755816,3797530096,3797.53,1166344.48,
2011-04-07,324.392426,328.937408,317.414276,327.789673,310.348846,7449896,3797530096,3797.53,1178559.08,
2011-04-08,329.901489,393.347626,327.8815,332.288757,314.608582,6684253,3797530096,3797.53,1194735.56,
2011-04-11,332.288757,336.328735,329.626038,332.793762,315.086639,3970210,3797530096,3797.53,1196550.99,
2011-04-13,327.146942,344.316895,324.116974,337.384644,319.433289,8597172,3797530096,3797.53,1213057.53,
2011-04-15,339.175079,345.235077,337.384644,341.929626,323.73645,6507422,3797530096,3797.53,1229398.91,
2011-04-18,342.021454,346.199158,336.282837,338.1651,320.172272,3839961,3797530096,3797.53,1215863.84,
2011-04-19,337.889648,347.071411,335.594208,345.648254,327.257263,4921986,3797530096,3797.53,1242769.31,
2011-04-20,346.428711,354.875946,344.684174,349.412781,330.821472,8145685,3797530096,3797.53,1256304.50,
2011-04-21,349.825958,353.039581,340.735992,345.4646,327.083313,5898405,3797530096,3797.53,1242108.73,
2011-04-25,343.81189,347.989594,342.296906,344.730072,326.387878,2340592,3797530096,3797.53,1239467.79,
2011-04-26,344.316895,351.524597,343.031433,350.376862,331.734253,5896538,3797530096,3797.53,1259770.81,
2011-04-27,352.580505,356.436829,350.468689,353.636414,334.820374,5748527,3797530096,3797.53,1271490.45,
2011-04-28,353.498657,357.951843,350.973694,355.105469,336.211243,4878099,3797530096,3797.53,1276772.31,
2011-04-29,355.151398,357.171387,345.418701,348.953674,330.38678,3410579,3797530096,3797.53,1254653.74,
2011-05-02,347.989594,353.452759,347.989594,352.305054,333.559814,2520051,3797530096,3797.53,1266703.43,
2011-05-03,349.550507,352.213226,342.15918,343.81189,325.518555,3653400,3797530096,3797.53,1236166.51,
2011-05-04,343.81189,345.602325,335.226929,339.49646,321.4328,3105481,3797530096,3797.53,1220650.73,
2011-05-05,330.406494,339.221008,323.382416,328.616028,311.131256,9751696,3797530096,3797.53,1181530.31,
2011-05-06,327.789673,331.967377,317.414276,322.234711,305.089478,7210113,3797530096,3797.53,1158586.47,
2011-05-09,323.933319,336.83374,323.198792,335.318756,317.477356,4485665,3797530096,3797.53,1205629.81,
2011-05-10,336.879639,337.476471,333.298737,336.007385,318.129303,2749662,3797530096,3797.53,1208105.60,
2011-05-11,336.053284,337.797821,333.803741,336.236908,318.34668,3170944,3797530096,3797.53,1208931.10,
2011-05-12,333.161011,336.604187,333.161011,335.777832,317.911987,2675432,3797530096,3797.53,1207280.34,
2011-05-13,333.390564,343.582336,333.390564,337.660095,319.694092,3514173,3797530096,3797.53,1214047.94,
2011-05-16,337.889648,344.270966,334.85965,340.82782,322.693268,2477286,3797530096,3797.53,1225437.40,
2011-05-17,340.552368,342.893707,338.348724,340.368713,322.258636,1948490,3797530096,3797.53,1223786.87,
2011-05-18,340.82782,344.316895,338.807831,341.516449,323.345245,2186595,3797530096,3797.53,1227913.30,
2011-05-19,342.434631,343.260986,334.676025,335.869659,317.998962,1783926,3797530096,3797.53,1207610.63,
2011-05-20,336.604187,347.43869,335.410553,343.260986,324.996979,4644827,3797530096,3797.53,1234185.81,
2011-05-23,339.81781,344.684174,336.19101,338.302826,320.302612,3270047,3797530096,3797.53,1216358.81,
2011-05-24,339.725983,343.169159,337.430542,340.276917,322.171692,3452688,3797530096,3797.53,1223456.70,
2011-05-25,337.568268,342.021454,333.803741,339.404633,321.345795,2263971,3797530096,3797.53,1220320.33,
2011-05-26,337.15509,343.12326,334.951477,337.246918,319.302887,5666798,3797530096,3797.53,1212562.32,
2011-05-27,338.991455,343.628265,338.807831,342.388702,324.171143,2435876,3797530096,3797.53,1231049.67,
2011-05-30,342.48053,343.306885,336.971466,341.057343,322.910614,3864363,3797530096,3797.53,1226262.77,
2011-05-31,341.378723,344.77597,339.037354,343.536438,325.257782,3155831,3797530096,3797.53,1235176.22,
2011-06-01,344.546448,353.177307,344.316895,350.376862,331.734253,4523627,3797530096,3797.53,1259770.81,
2011-06-02,347.989594,354.325043,347.530518,349.963684,331.343079,2218535,3797530096,3797.53,1258285.31,
2011-06-03,350.744141,353.131409,346.290985,347.484619,328.99585,2661588,3797530096,3797.53,1249371.64,
2011-06-06,349.229156,351.295044,344.77597,348.907776,330.343353,2766854,3797530096,3797.53,1254488.83,
2011-06-07,347.989594,350.606415,346.153259,346.933685,328.474274,2157529,3797530096,3797.53,1247390.94,
2011-06-08,347.11734,348.265045,340.644165,346.841888,328.38736,2848149,3797530096,3797.53,1247060.88,
2011-06-09,346.245056,348.678223,344.867798,345.740051,327.344116,2299785,3797530096,3797.53,1243099.13,
2011-06-10,346.612335,346.979614,341.791901,343.352814,325.083923,1941224,3797530096,3797.53,1234515.98,
2011-06-13,344.546448,348.494598,343.306885,346.704163,328.256989,2797947,3797530096,3797.53,1246565.79,
2011-06-14,347.025513,349.366882,346.153259,348.265045,329.734741,3136038,3797530096,3797.53,1252177.60,
2011-06-15,347.025513,348.356873,344.408691,345.923706,327.518036,2526064,3797530096,3797.53,1243759.60,
2011-06-16,344.316895,348.724152,337.568268,339.404633,321.345795,5884309,3797530096,3797.53,1220320.33,
2011-06-17,338.991455,350.698242,338.991455,349.412781,330.821472,5036199,3797530096,3797.53,1256304.50,
2011-06-20,348.907776,359.880005,344.821899,357.951843,338.906158,8685073,3797530096,3797.53,1287006.33,
2011-06-21,358.135468,365.802277,356.39093,359.558655,340.42749,5456766,3797530096,3797.53,1292783.64,
2011-06-22,360.844086,362.68045,346.704163,350.560486,331.908142,8384171,3797530096,3797.53,1260431.16,
2011-06-23,349.045502,355.426849,348.265045,350.881866,332.212372,3212841,3797530096,3797.53,1261586.48,
2011-06-24,352.167328,361.991821,352.167328,359.834106,340.688263,5370615,3797530096,3797.53,1293773.93,
2011-06-27,357.171387,366.261353,356.253204,363.598633,344.252563,4868300,3797530096,3797.53,1307309.47,
2011-06-28,364.333191,371.816345,363.828186,367.546814,347.990662,10521672,3797530096,3797.53,1321505.01,
2011-06-29,368.694519,370.898163,366.766357,368.602692,348.990326,4184735,3797530096,3797.53,1325301.27,
2011-06-30,369.107697,370.760437,357.860016,362.588623,343.296295,12883282,3797530096,3797.53,1303678.01,
2011-07-01,362.588623,363.598633,351.065491,352.0755,333.342499,5692508,3797530096,3797.53,1265878.17,
2011-07-04,353.957764,356.528656,351.662323,352.855957,334.081421,4328906,3797530096,3797.53,1268684.25,
2011-07-05,354.41684,354.784119,347.300964,350.973694,332.299286,2546542,3797530096,3797.53,1261916.54,
