Date,Open,High,Low,Close,Adj Close,Volume,nos,nos in millions,market capiotalization 
2011-10-03,227.625,234,226.5,230.975006,218.879074,1917186,1035581955,1035.58,226667.21936151
2011-10-04,231.5,231.574997,224.25,226.149994,214.306732,2401640,1035581955,1035.58,221932.184494221
2011-10-05,225,233,225,230.524994,218.452637,2103384,1035581955,1035.58,226225.608899365
2011-10-07,236.300003,238.875,230.125,234.800003,222.503754,1987414,1035581955,1035.58,230420.872562159
2011-10-10,232.774994,236.199997,231,231.524994,219.400284,1468888,1035581955,1035.58,227206.975032275
2011-10-11,234,241.699997,231.75,238.824997,226.317993,2679866,1035581955,1035.58,234370.829642616
2011-10-12,240.550003,243.024994,239.5,242.024994,229.350388,1247944,1035581955,1035.58,237511.123185049
2011-10-13,241.324997,243.274994,237.100006,238.175003,225.702042,1589286,1035581955,1035.58,233732.961901852
2011-10-14,235.675003,243.475006,235.675003,239.949997,227.384048,1703284,1035581955,1035.58,235474.816963654
2011-10-17,239.75,240.175003,232.774994,236.024994,223.664612,1117938,1035581955,1035.58,231623.036159276
2011-10-18,233.050003,237.949997,232.375,233.199997,220.987549,1115716,1035581955,1035.58,228850.718024078
2011-10-19,234,242.725006,234,241.5,228.85289,1555646,1035581955,1035.58,236995.9232336
2011-10-20,239.949997,244.975006,239.050003,244.399994,231.601013,1757926,1035581955,1035.58,239841.82982252
2011-10-21,246.699997,248.5,242,243.725006,230.961365,1407938,1035581955,1035.58,239179.421896169
2011-10-24,247.5,250.5,239.100006,241.125,228.497528,2053022,1035581955,1035.58,236627.916758907
2011-10-25,243.5,251.949997,240.449997,250.050003,236.955139,1749532,1035581955,1035.58,245386.466092917
2011-10-28,256,257.5,251.550003,254.75,241.408997,2587778,1035581955,1035.58,249998.801067849
2011-10-31,254.5,254.5,249.125,252.225006,239.016251,1434860,1035581955,1035.58,247520.916487351
2011-11-01,250,257.950012,250,252.975006,239.726974,2238258,1035581955,1035.58,248256.928401154
2011-11-02,252.5,256.549988,252.274994,254.5,241.172089,1224596,1035581955,1035.58,249753.463418054
2011-11-03,254.5,255.024994,249.5,251.875,238.68457,1217320,1035581955,1035.58,247177.433628934
2011-11-04,255,257.225006,252.300003,256.575012,243.138428,1928772,1035581955,1035.58,251789.768603867
2011-11-08,255.5,257.475006,247.5,249.699997,236.623474,875436,1035581955,1035.58,245042.999803812
2011-11-09,248.5,249.75,244.149994,245.350006,232.501266,1185296,1035581955,1035.58,240774.115584255
2011-11-11,245.125,252.899994,245,252.149994,238.94516,2616412,1035581955,1035.58,247447.295930588
2011-11-14,255.600006,262.475006,254.300003,255.399994,242.024963,1951568,1035581955,1035.58,250636.684342343
2011-11-15,253.125,257.899994,251.300003,252.425003,239.205765,944612,1035581955,1035.58,247717.173765971
2011-11-16,250.600006,251.949997,243.5,244.725006,231.909012,1355978,1035581955,1035.58,240160.788029078
2011-11-17,246.5,250.5,243.125,246.225006,233.330444,2330426,1035581955,1035.58,241632.797358538
2011-11-18,246,251.350006,245.75,249.300003,236.2444,1782862,1035581955,1035.58,244650.437609802
2011-11-21,247.574997,250.875,247,249.300003,236.2444,1588990,1035581955,1035.58,244650.437609802
2011-11-22,247,253.449997,247,251.324997,238.16333,2262380,1035581955,1035.58,246637.64689071
2011-11-23,251.524994,253.875,247.100006,248.75,235.72319,1856570,1035581955,1035.58,244110.681939036
2011-11-24,251.5,252.975006,243.050003,250.850006,237.713257,2058724,1035581955,1035.58,246171.559413477
2011-11-25,249.5,252,244.024994,245.949997,233.069839,1296106,1035581955,1035.58,241362.919523155
2011-11-28,247.75,259,245,256.75,243.30426,1501122,1035581955,1035.58,251961.501230628
2011-11-29,258.700012,258.700012,253.100006,254.675003,241.337967,1094566,1035581955,1035.58,249925.243681586
2011-11-30,254.050003,264.75,254.050003,262.75,248.990097,2639414,1035581955,1035.58,257849.6514269
2011-12-01,265.5,267.475006,259.075012,261.350006,247.663406,1619632,1035581955,1035.58,256475.754167439
2011-12-02,262.149994,269,259.399994,266.575012,252.614761,1443394,1035581955,1035.58,261603.288058238
2011-12-05,267.274994,269.975006,261.049988,262.299988,248.563614,1211938,1035581955,1035.58,257407.993327985
2011-12-07,261.149994,264.975006,254.024994,255.699997,242.30925,2540814,1035581955,1035.58,250931.086829584
2011-12-08,255,261.5,252.5,259.674988,246.07605,2395944,1035581955,1035.58,254831.916937678
2011-12-09,256.100006,259.450012,253.600006,256.450012,243.019989,1156182,1035581955,1035.58,251667.115312699
2011-12-12,258.024994,260.325012,251.050003,252.425003,239.205765,1176710,1035581955,1035.58,247717.173765971
